"SETTLEMENT_DATE","SETTLEMENT_PERIOD","ND","FORECAST_ACTUAL_INDICATOR","TSD","ENGLAND_WALES_DEMAND","EMBEDDED_WIND_GENERATION","EMBEDDED_WIND_CAPACITY","EMBEDDED_SOLAR_GENERATION","EMBEDDED_SOLAR_CAPACITY","NON_BM_STOR","PUMP_STORAGE_PUMPING","SCOTTISH_TRANSFER","IFA_FLOW","IFA2_FLOW","BRITNED_FLOW","MOYLE_FLOW","EAST_WEST_FLOW","NEMO_FLOW","NSL_FLOW","ELECLINK_FLOW","VIKING_FLOW","GREENLINK_FLOW"
"2026-03-01",1,24615,"A",26853,22745,2169,6606,0,21504,0,12,3422,1504,992,-644,-433,-51,886,768,997,991,-498
"2026-03-01",2,25043,"A",26975,23215,2238,6606,0,21504,0,12,3892,1503,992,-647,-303,-3,885,772,997,991,-367
"2026-03-01",3,24661,"A",26195,22781,2289,6606,0,21504,0,13,4131,1504,992,-545,-153,0,467,400,996,990,-223
"2026-03-01",4,24034,"A",25441,22267,2339,6606,0,21504,0,13,4291,1502,988,-541,-94,0,449,323,994,981,-159
"2026-03-01",5,22956,"A",24403,21305,2409,6606,0,21504,0,11,4550,1363,852,-752,-8,0,384,-52,892,737,-24
"2026-03-01",6,22626,"A",24129,21000,2479,6606,0,21504,0,13,4704,1353,843,-761,0,0,381,-129,882,708,0
"2026-03-01",7,21990,"A",23880,20443,2555,6606,0,21504,0,17,4720,1267,843,-765,0,0,265,-508,764,271,68
"2026-03-01",8,21717,"A",23950,20204,2630,6606,0,21504,0,281,4836,1257,843,-766,52,0,261,-586,754,235,172
"2026-03-01",9,21128,"A",24040,19648,2696,6606,0,21504,0,296,4968,1076,843,-1043,8,0,33,-973,712,134,190
"2026-03-01",10,21006,"A",24068,19478,2761,6606,0,21504,0,357,4802,1069,847,-1055,0,0,24,-1050,717,107,152
"2026-03-01",11,20795,"A",25278,19282,2835,6606,0,21504,0,767,5085,1482,983,-1055,0,0,286,-1406,980,-655,152
"2026-03-01",12,20720,"A",25423,19189,2909,6606,0,21504,0,894,5084,1503,988,-1055,0,0,296,-1451,996,-703,200
"2026-03-01",13,21230,"A",25943,19695,3019,6606,0,21504,0,1081,5234,1364,864,-1055,0,0,159,-1451,997,-526,200
"2026-03-01",14,21799,"A",26614,20315,3129,6606,0,21504,0,1201,5355,1355,859,-1055,3,0,154,-1452,996,-507,200
"2026-03-01",15,22556,"A",27259,21047,3210,6606,82,21504,0,1462,5550,1355,983,-932,77,0,215,-1452,996,-257,200
